State,Year,TurnoutRate
Arizona,1986,0.38380000000000003
California,1986,0.444
Colorado,1986,0.47479999999999994
Connecticut,1986,0.4374
Delaware,1986,0.3635
District Of Columbia,1986,0.28800000000000003
Hawaii,1986,0.4816
Idaho,1986,0.5927
Illinois,1986,0.41979999999999995
Indiana,1986,0.4105
Iowa,1986,0.45649999999999996
Maryland,1986,0.361
Massachusetts,1986,0.4106
Michigan,1986,0.3785
Minnesota,1986,0.4818
Montana,1986,0.5708
Nebraska,1986,0.5146000000000001
Nevada,1986,0.3775
New Hampshire,1986,0.3386
New Jersey,1986,0.3038
New Mexico,1986,0.41369999999999996
New York,1986,0.3653
North Dakota,1986,0.6227
Ohio,1986,0.46630000000000005
Oklahoma,1986,0.4081
Oregon,1986,0.5639
Rhode Island,1986,0.4539
South Carolina,1986,0.3191
Utah,1986,0.435
Vermont,1986,0.5433
Washington,1986,0.43090000000000006
West Virginia,1986,0.32770000000000005
Wyoming,1986,0.5126
Alaska,1984,0.6213000000000001
Arizona,1984,0.4888
California,1984,0.5896
Colorado,1984,0.5925
Connecticut,1984,0.6478
Delaware,1984,0.5838
District Of Columbia,1984,0.4647
Hawaii,1984,0.5032
Idaho,1984,0.6364
Illinois,1984,0.6275999999999999
Indiana,1984,0.5793
Iowa,1984,0.6511
Maryland,1984,0.5446
Massachusetts,1984,0.6076
Michigan,1984,0.6065
Minnesota,1984,0.7097
Montana,1984,0.6820999999999999
Nebraska,1984,0.5912
Nevada,1984,0.44799999999999995
New Hampshire,1984,0.5657
New Jersey,1984,0.6047
New Mexico,1984,0.546
New York,1984,0.5722999999999999
North Dakota,1984,0.6717
Ohio,1984,0.6032
Oklahoma,1984,0.555
Oregon,1984,0.6637000000000001
Rhode Island,1984,0.6061
South Carolina,1984,0.4372
Utah,1984,0.6428
Vermont,1984,0.6164999999999999
Washington,1984,0.6286999999999999
Wyoming,1984,0.5793
Alaska,1982,0.6487
Arizona,1982,0.36829999999999996
California,1982,0.499
Colorado,1982,0.47229999999999994
Connecticut,1982,0.4939
Delaware,1982,0.455
Hawaii,1982,0.48479999999999995
Idaho,1982,0.5107
Illinois,1982,0.4879
Indiana,1982,0.473
Iowa,1982,0.508
Maryland,1982,0.392
Massachusetts,1982,0.503
Michigan,1982,0.493
Minnesota,1982,0.6231
Montana,1982,0.5759000000000001
Nebraska,1982,0.4954
Nevada,1982,0.3908
New Hampshire,1982,0.4213
New Jersey,1982,0.43770000000000003
New Mexico,1982,0.4545
New York,1982,0.44880000000000003
North Dakota,1982,0.5724
Ohio,1982,0.4619
Oklahoma,1982,0.39149999999999996
Oregon,1982,0.5613
Rhode Island,1982,0.5414
South Carolina,1982,0.3045
Utah,1982,0.5582
Vermont,1982,0.46130000000000004
Washington,1982,0.4681
Wyoming,1982,0.4997
Alaska,1980,0.602
Arizona,1980,0.4752
California,1980,0.562
Colorado,1980,0.5914
Connecticut,1980,0.6468
Delaware,1980,0.5676
District Of Columbia,1980,0.379
Hawaii,1980,0.4916
Idaho,1980,0.7041
Illinois,1980,0.6189
Indiana,1980,0.5914
Iowa,1980,0.6346
Maryland,1980,0.5257000000000001
Massachusetts,1980,0.6245
Michigan,1980,0.624
Minnesota,1980,0.7211
Montana,1980,0.6708
Nebraska,1980,0.5842
Nevada,1980,0.5189
New Hampshire,1980,0.6093
New Jersey,1980,0.5853
New Mexico,1980,0.532
New York,1980,0.5294
North Dakota,1980,0.6801999999999999
Ohio,1980,0.5736
Oklahoma,1980,0.542
Oregon,1980,0.6434000000000001
Rhode Island,1980,0.6269
South Carolina,1980,0.4235
Utah,1980,0.6662
Vermont,1980,0.5932999999999999
Washington,1980,0.6064
West Virginia,1980,0.5352
Wyoming,1980,0.5540999999999999
