State,Year,TurnoutRate
Connecticut,2018,0.5462
Florida,2016,0.6572
Wyoming,2016,0.6023
Nebraska,2006,0.4867
Illinois,2000,0.5898
Illinois,2012,0.5922999999999999
Rhode Island,1988,0.5763
Idaho,1998,0.4582
Alaska,1982,0.6487
Minnesota,1990,0.5878
Montana,2002,0.5002
Montana,2012,0.6364
Florida,2004,0.6428
Illinois,2010,0.432
Kansas,2018,0.5095000000000001
United States,2002,0.4048
Maine,2014,0.5859000000000001
Kansas,1994,0.455
Kansas,1998,0.3969
North Dakota,2006,0.4457
Idaho,2018,0.4977
California,2004,0.5985
Mississippi,2022,0.3252
Colorado,2018,0.6207
Utah,2018,0.5151
Washington,2018,0.5911
New Jersey,2002,0.386
Washington,1994,0.4665999999999999
Alaska,1996,0.6065999999999999
Alaska,2004,0.7003
Maryland,1998,0.4362
North Dakota,2018,0.5867
Massachusetts,1990,0.5529
United States,2012,0.5857
Georgia,2010,0.4102
Delaware,1984,0.5838
Rhode Island,2014,0.4225
South Dakota,2006,0.5931000000000001
West Virginia,2008,0.5115999999999999
New Mexico,1998,0.4313
Louisiana,2022,0.4188
Iowa,2010,0.5086999999999999
Ohio,2012,0.6513
District Of Columbia,2012,0.6136
Kentucky,2014,0.4489
South Dakota,2020,0.6562
Hawaii,2002,0.4436
New Hampshire,1988,0.5775
Maryland,1996,0.5082
Maine,2012,0.6938
Missouri,2012,0.6411
Georgia,1998,0.3459
Arizona,1982,0.3682999999999999
North Carolina,2006,0.3228
Nebraska,2016,0.6411
Delaware,2008,0.6579999999999999
Nebraska,1986,0.5146000000000001
Indiana,1980,0.5914
Indiana,2012,0.5604
Connecticut,1982,0.4939
Missouri,2016,0.6225
New Mexico,2022,0.4615999999999999
Nebraska,2020,0.6906
Virginia,2012,0.6672
Arizona,1988,0.4909
Georgia,2022,0.5192
Tennessee,2022,0.3329999999999999
North Carolina,2020,0.71
Illinois,1988,0.5907
Ohio,2022,0.471
Michigan,1980,0.624
Colorado,2020,0.7669
South Carolina,2022,0.4261999999999999
Massachusetts,1988,0.6132
Wisconsin,2008,0.7273999999999999
Nebraska,2000,0.5853
Alabama,2014,0.3334
Texas,2018,0.4579999999999999
Connecticut,1990,0.4861
Iowa,1998,0.4606
Louisiana,2018,0.4498
Wyoming,1992,0.6275999999999999
South Dakota,2000,0.5905
Vermont,2020,0.7125
Illinois,2008,0.6422
Missouri,2018,0.5345
Alaska,1992,0.6707
Michigan,2022,0.5895
New Jersey,1986,0.3038
Kentucky,2000,0.5254
Colorado,2008,0.716
Colorado,2002,0.4600999999999999
Maine,2008,0.7184999999999999
Utah,2016,0.5803
Arkansas,2008,0.5291
Kansas,2000,0.5768
Ohio,1998,0.4289
Minnesota,2008,0.7809
Michigan,1986,0.3785
New Mexico,2012,0.5466
Oklahoma,1994,0.4304
Washington,2014,0.4296
New Jersey,1998,0.344
South Carolina,2016,0.573
Tennessee,2020,0.5924
Vermont,1982,0.4613
Maryland,1982,0.392
Idaho,2016,0.6076
Wyoming,2000,0.6212
Utah,2012,0.5617
Minnesota,2000,0.7106
Florida,2008,0.6665000000000001
Montana,1992,0.7034999999999999
New York,1988,0.5397
Louisiana,2014,0.4493
Alaska,1994,0.5425
Pennsylvania,2018,0.5175
Minnesota,2016,0.7467
Montana,2018,0.6213000000000001
Nevada,1982,0.3908
Virginia,2022,0.4752
Delaware,1988,0.5399
Hawaii,2010,0.4021
Virginia,2016,0.6627
New Mexico,2020,0.6049
Iowa,1996,0.5964
New Jersey,2000,0.5932999999999999
Oregon,1998,0.4894
Ohio,2008,0.6781999999999999
Pennsylvania,2020,0.6993
New Hampshire,2020,0.7395999999999999
Kentucky,2006,0.4411
Indiana,1988,0.556
Indiana,2018,0.4688
New Jersey,2012,0.6241
California,2020,0.6883
District Of Columbia,2010,0.2946999999999999
West Virginia,2014,0.3214
Montana,1982,0.5759000000000001
New Mexico,2006,0.4276
South Dakota,2022,0.5274
Vermont,1998,0.5043
Missouri,2008,0.6820999999999999
Michigan,2010,0.4508
Idaho,2012,0.6113000000000001
New Jersey,1990,0.3681
New Hampshire,2004,0.7193
Hawaii,2000,0.4397999999999999
Alabama,2020,0.6146
Delaware,1982,0.455
Minnesota,2018,0.6420999999999999
Alaska,1986,0.5189
Nebraska,2022,0.484
Montana,2016,0.6442
United States,2004,0.6086
Arkansas,2002,0.4195
Louisiana,1994,0.2941
Virginia,2018,0.5447
Ohio,2014,0.3619
Maryland,1992,0.5813
United States,2000,0.5528
Alaska,2000,0.6881999999999999
Michigan,1996,0.5623
West Virginia,1994,0.3187
California,2012,0.5585
Nebraska,2012,0.6114999999999999
Georgia,2006,0.3567
Tennessee,2018,0.4511
Wyoming,1996,0.6253
South Carolina,1988,0.4246
Arizona,1980,0.4752
Maryland,2016,0.6712
Virginia,2020,0.7179000000000001
Michigan,1984,0.6065
Rhode Island,2006,0.521
Louisiana,2006,0.3086
Iowa,1984,0.6511
Illinois,1992,0.6362
New Hampshire,1990,0.3776
Georgia,2018,0.5445
Idaho,1988,0.6312
Maine,2020,0.7487
Illinois,1984,0.6275999999999999
Utah,2002,0.3809
Massachusetts,1994,0.5125
Massachusetts,1984,0.6076
Nebraska,1980,0.5842
Kentucky,2016,0.5956
North Dakota,2020,0.6307
Idaho,2000,0.5902000000000001
Nebraska,2004,0.6397999999999999
District Of Columbia,1992,0.5418999999999999
Alaska,2010,0.5292
North Carolina,2008,0.6616
Michigan,1998,0.4488
Idaho,2004,0.6494
Kentucky,2020,0.6441
Massachusetts,1998,0.4368999999999999
California,1986,0.444
Nevada,1990,0.3799
Kansas,2012,0.5825
New Jersey,1992,0.6199
District Of Columbia,2022,0.409
Virginia,2010,0.3901
Hawaii,1992,0.4818
Rhode Island,1990,0.5177
Wyoming,1986,0.5126
Ohio,2016,0.6402
Hawaii,1996,0.4515
Michigan,2000,0.6045
New Hampshire,1994,0.3851
